threshold,accuracy,precision,recall,specificity,f1,f1_macro,balanced_accuracy,fpr,fnr,tn,fp,fn,tp
0.81,0.830914083954492,0.9528508771929824,0.8012170385395537,0.9033273381294964,0.8704798156866673,0.8135114197996507,0.852272188334525,0.09667266187050359,0.19878296146044624,2009,215,1078,4345
0.82,0.8280371387472212,0.9538223596995139,0.7960538447353863,0.9060251798561151,0.867825912151975,0.8109007951779519,0.8510395122957507,0.09397482014388489,0.20394615526461368,2015,209,1106,4317
0.83,0.8271217470903622,0.9555654299044657,0.7931034482758621,0.9100719424460432,0.8667875856509472,0.8103025451532203,0.8515876953609527,0.08992805755395683,0.20689655172413793,2024,200,1122,4301
0.84,0.8255525042500327,0.9576897246474144,0.7888622533652959,0.9150179856115108,0.8651162790697674,0.8091310484912124,0.8519401194884033,0.08498201438848921,0.21113774663470403,2035,189,1145,4278
0.85,0.8224140185693736,0.9595297309518427,0.782592660888807,0.9195143884892086,0.8620759699370303,0.8064050921638162,0.8510535246890079,0.08048561151079137,0.21740733911119306,2045,179,1179,4244
0.86,0.817706290048385,0.9598265236247432,0.7754010695187166,0.920863309352518,0.8578131374949001,0.8019484631008198,0.8481321894356173,0.07913669064748201,0.22459893048128343,2048,176,1218,4205
0.87,0.8132601020007846,0.9607843137254902,0.768025078369906,0.9235611510791367,0.8536585365853658,0.7978552798533766,0.8457931147245213,0.0764388489208633,0.23197492163009403,2054,170,1258,4165
0.88,0.8068523604027723,0.9618445692883895,0.757698690761571,0.9267086330935251,0.8476534296028881,0.7919281614883524,0.8422036619275481,0.07329136690647482,0.2423013092384289,2061,163,1314,4109
0.89,0.801490780698313,0.9636665875089052,0.7482943020468376,0.9312050359712231,0.8424330496159436,0.7871175848786431,0.8397496690090303,0.06879496402877698,0.25170569795316244,2071,153,1365,4058
0.9,0.7956061200470773,0.9643888354186718,0.7390743131108243,0.9334532374100719,0.8368305668650172,0.7816698766083616,0.836263775260448,0.06654676258992806,0.2609256868891757,2076,148,1415,4008
0.91,0.7903753105793121,0.9660810151293314,0.7300387239535313,0.9375,0.8316353324230648,0.7769817057057296,0.8337693619767657,0.0625,0.26996127604646875,2085,139,1464,3959
0.92,0.7813521642474173,0.9673560926987291,0.7158399409920708,0.9410971223021583,0.8228062738448495,0.7686923141160062,0.8284685316471145,0.05890287769784173,0.2841600590079292,2093,131,1541,3882
0.93,0.7720674774421342,0.9696273608984176,0.7005347593582888,0.9464928057553957,0.8134032758805267,0.7603048632048359,0.8235137825568423,0.05350719424460432,0.2994652406417112,2105,119,1624,3799
0.94,0.7587289132993331,0.9740328563857975,0.677853586575696,0.9559352517985612,0.7993911057953681,0.7483916329370477,0.8168944191871286,0.044064748201438846,0.3221464134243039,2126,98,1747,3676
0.95,0.7370210540081078,0.9768026830631638,0.6444772266273281,0.9626798561151079,0.7765803799577825,0.7285094812549122,0.803578541371218,0.03732014388489208,0.35552277337267196,2141,83,1928,3495
